month,day,hour,temp,kW
9,22,9,72,57.0725
9,22,10,75.9,116.73
9,22,11,79,127.215
9,22,12,82,125.14
9,22,13,84,126.01
9,22,14,86,126.0875
9,22,15,86,126.335
9,22,16,86,125.9275
9,22,17,84.9,124.5125
9,22,18,82.9,123.435
9,22,19,81,123.4525
9,22,20,78.1,119.2
9,22,21,78.1,118.0575
9,22,22,75,117.7675
9,22,23,73.9,115.9225
9,22,24,73,115.02
9,23,1,72,115.5325
9,23,2,70,114.7175
9,23,3,68,114.1425
9,23,4,68,113.805
9,23,5,68,113.525
9,23,6,66.9,113.6375
9,23,7,66.9,114.16
9,23,8,69.1,114.26
9,23,9,72,117.48
9,23,10,73.9,120.0225
9,23,11,78.1,122.5975
9,23,12,81,125.0075
9,23,13,84,137.875
9,23,14,84.9,126.3075
9,23,15,87.1,127.885
9,23,16,88,123.885
9,23,17,87.1,124.78
9,23,18,84.9,87.2775
9,23,19,82.9,58.41
9,23,20,82,55.48
9,23,21,78.1,55.565
9,23,22,77,55.61
9,23,23,75,55.145
9,23,24,75,54.9
9,24,1,73.9,77.71
9,24,2,73,134.5525
9,24,3,71.1,123.155
9,24,4,71.1,120.61
9,24,5,72,119.99
9,24,6,70,119.3825
9,24,7,73,117.2875
9,24,8,73,116.1225
9,24,9,73.9,116.94
9,24,10,75.9,117.7025
9,24,11,75.9,117.4375
9,24,12,73.9,117.4625
9,24,13,73,116.8225
9,24,14,72,116.4275
9,24,15,72,116.6675
9,24,16,73,115.315
9,24,17,73.9,114.91
9,24,18,73,115.2575
9,24,19,71.55,114.74
9,24,20,69.1,113.565
9,24,21,68,112.59
9,24,22,66.9,111.8425
9,24,23,66,110.8125
9,24,24,66,112.21
9,25,1,64.9,111.65
9,25,2,64,111.6975
9,25,3,63,111.4275
9,25,4,63,110.8775
9,25,5,61,110.7125
9,25,6,60.1,106.745
9,25,7,59,105.7325
9,25,8,60.1,102.15
9,25,9,62.1,101.335
9,25,10,64,111.9275
9,25,11,68,103.8725
9,25,12,69.1,110.79
9,25,13,72,110.7925
9,25,14,73,110.74
9,25,15,73.9,111.3425
9,25,16,73.9,110.46
9,25,17,73.9,110.51
9,25,18,72,110.3875
